label,prob,pred
1,0.024011066,0
1,0.99999034,1
1,0.9999695,1
1,0.9999945,1
1,0.9999734,1
1,0.9999944,1
1,0.9999944,1
1,0.9999695,1
1,1.0,1
1,0.99999964,1
1,1.0,1
1,1.0,1
1,0.6778213000000001,1
1,1.0,1
1,0.9997111999999999,1
1,0.9907911,1
1,0.9989359,1
1,0.012652268000000001,0
1,0.049733464000000005,0
1,0.9752136,1
1,0.99961394,1
1,0.029945016,0
1,0.00702147,0
1,0.0121320905,0
1,0.05561382,0
1,0.05561382,0
1,0.4451193,0
1,0.010932794,0
1,0.6558983,1
1,0.9938074,1
1,0.14085557,0
1,0.05561382,0
1,0.009571385,0
1,0.62762797,1
1,0.8993723,1
1,0.99907076,1
1,0.010039205,0
1,0.9678094,1
1,0.974942,1
1,0.047631695999999994,0
1,0.19335994,0
1,0.6550291,1
1,0.062047782999999995,0
1,0.030838214,0
1,0.99897516,1
1,0.75002664,1
1,0.99850464,1
1,0.025614806,0
1,0.9996896999999999,1
1,0.007374435,0
1,0.002201026,0
1,0.18103164,0
1,0.03481585,0
1,0.44165343,0
1,0.80248904,1
1,0.05494081,0
1,0.9999986999999999,1
1,0.8855004999999999,1
1,0.0011936261,0
1,0.027947545,0
1,0.9993061,1
1,0.99705124,1
1,0.23217595,0
1,0.8549886999999999,1
1,1.0,1
1,1.0,1
1,0.99926037,1
1,0.8224601,1
1,1.0,1
1,0.9999893,1
1,0.0027925528,0
1,0.9998555,1
1,1.0,1
1,1.0,1
1,1.0,1
1,0.8641597,1
1,0.99898,1
1,0.9991709999999999,1
1,0.99999976,1
1,0.9999678,1
1,0.9999976,1
1,0.9999986999999999,1
1,0.99994385,1
1,0.9999435,1
1,0.0031225055,0
1,0.99999833,1
1,0.9999927,1
1,0.9999994000000001,1
1,0.05549568,0
1,0.99998903,1
1,0.999948,1
1,0.00010491678400000001,0
1,0.9533444999999999,1
1,0.99609935,1
1,0.9998259,1
1,0.059513733,0
1,0.9999968000000001,1
1,1.0,1
1,1.0,1
1,0.8353219999999999,1
1,0.99987996,1
1,0.99766785,1
1,0.9999981,1
1,1.0,1
1,1.0,1
1,1.0,1
1,0.99998045,1
1,1.0,1
1,1.0,1
1,1.0,1
1,0.9999998999999999,1
1,1.0,1
1,0.99999106,1
1,0.028700491,0
1,1.0,1
1,0.12394714,0
1,0.0035435422,0
1,0.0008379538000000001,0
1,0.0006676984,0
1,0.9999950999999999,1
1,0.9910834999999999,1
1,0.82413566,1
1,2.8955283e-05,0
1,0.9999998999999999,1
1,0.9999886999999998,1
1,0.99922085,1
1,0.9999800999999999,1
